                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98117,                0.88423,                0.99142,                0.94076,                0.99293,                0.98029,                0.66671,                  1.022,                0.71492,                 1.0867,             0.00022876,             0.00022876,             0.00022876
                     35,                0.90766,                0.82517,                0.96859,                0.99862,                 0.9375,                0.93511,                0.64944,                 1.0038,                0.86479,                 1.0552,             0.00022222,             0.00022222,             0.00022222
                     36,                0.88461,                0.71359,                 1.0036,                0.99862,                 0.9375,                0.93511,                0.64944,                 1.0038,                0.86479,                 1.0552,              0.0002149,              0.0002149,              0.0002149
                     37,                0.93218,                0.70358,                0.94457,                0.88476,                      1,                0.97767,                0.65651,                 1.0042,                  1.032,                 1.0391,             0.00020678,             0.00020678,             0.00020678
                     38,                 1.1361,                0.86308,                 1.0256,                0.88476,                      1,                0.97767,                0.65651,                 1.0042,                  1.032,                 1.0391,             0.00019788,             0.00019788,             0.00019788
                     39,                 1.0173,                0.84296,                 1.0129,                0.88362,                      1,                0.98167,                0.66291,                0.99102,                0.89025,                 1.0286,             0.00018818,             0.00018818,             0.00018818
                     40,                0.94832,                0.78064,                0.99366,                0.88362,                      1,                0.98167,                0.66291,                0.99102,                0.89025,                 1.0286,             0.00017768,             0.00017768,             0.00017768
                     41,                0.88937,                0.77073,                0.92397,                0.97479,                 0.9375,                0.93516,                0.69964,                 0.9243,                0.76244,                 1.0048,              0.0001664,              0.0001664,              0.0001664
                     42,                0.70105,                 0.5343,                0.91032,                0.97479,                 0.9375,                0.93516,                0.69964,                 0.9243,                0.76244,                 1.0048,             0.00015432,             0.00015432,             0.00015432
                     43,                0.76878,                0.58037,                0.88212,                0.93796,                 0.9375,                0.93519,                0.71768,                0.88487,                0.73909,                0.99464,             0.00014146,             0.00014146,             0.00014146
                     44,                0.88695,                0.59066,                 1.0333,                0.93796,                 0.9375,                0.93519,                0.71768,                0.88487,                0.73909,                0.99464,              0.0001278,              0.0001278,              0.0001278
                     45,                 1.0191,                0.68809,                 1.0527,                0.93669,                0.92533,                0.93145,                0.75354,                0.79814,                 0.6525,                0.95053,             0.00011334,             0.00011334,             0.00011334
                     46,                0.88702,                0.64433,                  1.049,                0.93669,                0.92533,                0.93145,                0.75354,                0.79814,                 0.6525,                0.95053,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.77898,                0.53751,                0.93572,                0.84121,                0.99364,                0.97847,                0.79441,                0.72862,                 0.5719,                0.90701,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.83431,                0.52047,                 1.0001,                0.84121,                0.99364,                0.97847,                0.79441,                0.72862,                 0.5719,                0.90701,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.70074,                0.49432,                0.91799,                0.97298,                  0.875,                0.97594,                0.80611,                0.69061,                0.51474,                0.88528,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.62064,                0.49435,                0.85011,                0.97298,                  0.875,                0.97594,                0.80611,                0.69061,                0.51474,                0.88528,             2.9204e-05,             2.9204e-05,             2.9204e-05
